epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,686.443,0.85542,0.71378,1.19693,0.89534,0.96426,0.98768,0.75048,0.87344,0.53251,1.23229,0.000410409,0.000410409,0.000410409
110,692.258,0.87417,0.72739,1.19568,0.9268,0.97029,0.99219,0.78775,0.82004,0.49856,1.22404,0.000400977,0.000400977,0.000400977
111,699.686,0.85054,0.67668,1.18066,0.91788,0.94872,0.96614,0.75889,0.81882,0.559,1.21326,0.000391546,0.000391546,0.000391546
112,705.517,0.86672,0.72934,1.2012,0.94304,0.93148,0.98431,0.7739,0.81624,0.52516,1.18116,0.000382115,0.000382115,0.000382115
113,711.462,0.84363,0.70157,1.17332,0.93884,0.94898,0.98206,0.75043,0.80711,0.47439,1.19237,0.000372683,0.000372683,0.000372683
114,717.929,0.77976,0.67436,1.14716,0.98466,0.93237,0.98875,0.75534,0.79233,0.49887,1.16655,0.000363252,0.000363252,0.000363252
115,723.573,0.79557,0.63058,1.14736,0.94932,0.958,0.98382,0.7378,0.90323,0.55707,1.22597,0.00035382,0.00035382,0.00035382
116,731.393,0.82348,0.69438,1.15964,0.95887,0.95238,0.98356,0.7641,0.82048,0.5247,1.17487,0.000344389,0.000344389,0.000344389
117,736.806,0.80062,0.65935,1.15036,0.96579,0.93234,0.99074,0.77197,0.80001,0.4796,1.16773,0.000334958,0.000334958,0.000334958
118,744.259,0.80532,0.66721,1.14038,0.96432,0.96475,0.995,0.75127,0.83291,0.47054,1.20518,0.000325526,0.000325526,0.000325526
119,750.267,0.78511,0.68043,1.1499,0.96131,0.95955,0.99219,0.74695,0.89363,0.50575,1.23111,0.000316095,0.000316095,0.000316095
120,756.392,0.80378,0.66193,1.147,0.95271,0.95511,0.98642,0.78416,0.78349,0.47677,1.16315,0.000306663,0.000306663,0.000306663
